id,requirement_text,project,requirement_category,risk_type,probability,risk_magnitude,risk_impact,risk_dimension,requirement_affected,fixing,fix,fix_priority,req_aff_fix_affects
192,If a student signs in they are taken to the Student Main Page  If a Records employee signs in they are taken to a Records Main Page,Management Information System,Interfaces,Design,53,Medium,moderate,User,1,6,0,49.623077,3
193,The Records main page would allow a records employee to process Official Transcript orders,Management Information System,Interfaces,Design,41,Very Low,Low,User,2,4,0,39.238462,2
194,The Student main page would have links or tabs to the various other systems like Course Registration Course Time-tables Student Accounts Transcripts and Records,Management Information System,Interfaces,Design,28,Low,high,User,3,6,0,31.930769,2
195,The Course Registration Page would show the courses the user is currently registered in and allow the user to register for next term courses if they are eligible,Management Information System,Interfaces,Design,26,Low,moderate,User,4,7,0,31.815385,2
196, It will not display past courses or grades,Management Information System,Interfaces,Design,33,Very Low,Low,Organizational Requirements,2,5,0,34.046154,2
197,When a user chooses the Register for Courses option they are taken to a page that has a list of courses offered that semester and an empty time-table,Management Information System,Interfaces,Design,35,Low,Moderate,User,4,8,0,39.507692,2
198,When user selects a course the course information like class size current enrollment information (i.e seats Availibility of Instructor is displayed in text form'),Management Information System,Interfaces,Design,19,Medium,high,User,8,9,0,31.276923,2
199,The course also appears in the time-table,Management Information System,Interfaces,Design,20,Low,Low,User,9,5,0,29.315385,2
200,"The Course Time-Tables page basically displays information (timings, instructor, class size and pre-requisites) of all the courses offered at  the University",Management Information System,Interfaces,Design,21,High,moderate,User,7,8,0,31.276923,2
201,"The Student Account page contains information like a student’s address, tuition account information, Netlink account details and PinChg. ‘",Management Information System,Interfaces,Design,16,Very Low,Low,User,5,5,0,23.084615,2
202,A student will be able to view and edit information which includes changing passwords,Management Information System,Interfaces,User,34,Medium,moderate,Organizational Requirements,6,8,0,40.192308,3
203,The Transcripts and Records page will contain a student�s unofficial transcripts including and an ability to display all previously taken courses and the corresponding grades.,Management Information System,Interfaces,Design,13,Low,high,User,3,3,0,18.084615,1
204, It will also display a student�s standing i.e. G.P.A,Management Information System,Interfaces,Design,18,Very Low,Low,User,5,5,0,24.623077,2
205,This page will also allow a student to order official transcripts,Management Information System,Interfaces,Design,15,Low,moderate,User,2,7,0,21.815385,2
206,"The system will have 3 terminals per store with each one having a touch screen monitor, keyboard, credit card scanner and a cash register’",Enterprise System,Interfaces,Design,23,Low,insignificant,User,5,9,0,32.238462,2
207,The system will have a 45 minute battery backup at each terminal,Enterprise System,Interfaces,Planning & Control,43,Medium,moderate,User,1,8,0,44.369231,3
208,The system will have a 2 hour battery backup at the server at headquarters,Enterprise System,Interfaces,Planning & Control,40,Medium,moderate,User,1,3,0,38.215385,2
209,The system will interact with the banking network for the purpose of processing payments,Enterprise System,Interfaces,Business,76,High,moderate,Organizational Requirements,3,4,1,69.153846,4
210,The systems data needs will be supported by a connection to the headquarters server,Enterprise System,Interfaces,Business,79,Medium,high,Organizational Requirements,4,3,1,71.461538,4
211,"The System will consist of Four (4) modules; Customer Service, Customer Portal Website, Fleet Management Reports & Analytics",Enterprise System,Interfaces,Unrealistic Requirements,65,Low,moderate,Organizational Requirements,6,3,1,62.184615,4
212,The System will contain a Customer Service module that will allow Store and Corporate employees to provide information to customers,Enterprise System,Functional,Project complexity,53,High,moderate,User,4,2,1,51.169231,3
213,The System will contain a Customer Service module that will allow Store and Corporate employees� access to the system for the purpose of Creating Rental Agreements,Enterprise System,Functional,Project complexity,57,Medium,high,User,3,2,1,53.476923,3
214,The System will contain a Customer Service module that will allow Store and Corporate employees to collect payments,Enterprise System,Functional,Project complexity,76,High,high,Cost,6,1,1,70.015385,4
215,The System will contain a Customer Portal Website that will provide information to the public and customers about the company and operations of the company,Enterprise System,Functional,User,43,Low,moderate,Organizational Requirements,2,1,1,40.576923,3
216,"This information will include Locations, Hours of operation ,contact information, available rental vehicles, rental packages, price estimate and any other information deemed necessary by the company.’",Enterprise System,Functional,Requirement,65,Medium,moderate,Project Complexity,2,3,3,61.292308,4
217,The customer portal website will provide the customer with the closest location to their zip code and up to the next five (5) closest locations in addition to hours of operations contact info and directions’,Enterprise System,Functional,Unrealistic Requirements,37,Low,High,Project Complexity,1,1,3,37.515385,2
218,The System will generate an inventory capacity report for the desired time and location,Enterprise System,Functional,Time Dimension,43,Medium,moderate,Project Complexity,1,4,3,44.484615,3
219,The System will allow for new vehicles to be added to the inventory of the company,Enterprise System,Functional,Requirement,24,Low,moderate,Organizational Requirements,1,5,4,31.076923,2
220,The Fleet management module will allow the system to track vehicle maintenance. Maintenance will be tracked through mileage and or time as decided by the company,Enterprise System,Functional,Time Dimension,21,Medium,moderate,Project Complexity,3,6,2,29.869231,2
221,The System will contain a Report and Analytics Module that will serve the purpose of generating reports on the operations of the company,Enterprise System,Functional,Requirement,43,Low,high,Organizational Requirements,2,8,1,46.576923,3
222,"The System will contain a Report and Analytics Module that will be capable of generating reports for items such as sales maintenance, vehicle history, operations, rentals, and insurance’",Enterprise System,Functional,Project complexity,71,Medium,moderate,Organizational Requirements,5,9,5,74.323077,4
223,The System will contain a Report and Analytics Module that will be capable of generating reports for a desired time and location,Enterprise System,Functional,Time Dimension,32,Medium,moderate,Project Complexity,7,6,4,42.946154,3
224,The system will batch the daily operations to headquarters at the end of each business day,Enterprise System,Functional,Business,54,Low,high,Organizational Requirements,3,7,3,56.461538,3
225,The system will generate a backup of all data weekly for the purpose of data loss prevention at the headquarters,Enterprise System,Functional,Schedule,19,Medium,Low,Estimations,2,4,1,25.038462,2
226,"The system will allow the customer to input the desired date, location and package options to determine vehicle availability’",Enterprise System,Functional,Quality,12,Very Low,moderate,Schedule,1,4,2,19.461538,1
227,The system will display only vehicles that are currently available to rent to the customer during the rental process,Enterprise System,Functional,Schedule,25,Low,moderate,Estimations,3,3,4,32.038462,2
228,The system will create a customer account if the customer is not in the system,Enterprise System,Functional,Requirement,27,Low,Low,Schedule,1,2,3,30.153846,2
229,"The customer account will require name, address, date of birth, driver’s License and credit card number.",Enterprise System,Functional,Requirement,31,Low,moderate,Planning and Control,4,3,1,34.930769,2
230,The system will require a credit card be on file but will allow customer to use different forms of payment at time of rental,Enterprise System,Functional,User,6,Negligible,catastrophic,Planning and Control,2,4,2,15.269231,1
231,The system will provide a report of the vehicles that are scheduled to be rented out and returned for the specified day,Enterprise System,Functional,Requirement,5,Negligible,high,Software Requirement,3,5,2,16.446154,1
232,The system will allow for a block reservation of more than one (1) car at a time,Enterprise System,Functional,Requirement,15,Very Low,Low,User,1,4,1,20.615385,2
233,at time of pickup the system will allow the employee to bring up the specified reservation and to print out a rental agreement,Enterprise System,Functional,Team,30,Low,moderate,Planning and Control,5,3,4,37.3,2
234,The system will require the employee to verify the information on the Rental Agreement and to then input into the system a notice that the agreement has been gone over. ,Enterprise System,Functional,Schedule,21,Low,Low,Software Requirement,1,2,1,24.1,2
235,This will ensure that the employee has in fact gone over the agreement and everything is in place.,Enterprise System,Functional,User,28,Low,Low,Software Requirement,2,1,5,31.984615,2
236,The system will ask if the employee has obtained the customer Signature on the rental agreement. Customer signature is required on the rental agreement by company policy.,Enterprise System,Functional,Quality,21,Low,Low,Software Requirement,1,2,3,25.523077,2
237,The system will allow for preliminary payment to be collected at time of pickup if company policies states that payment is to be collected at time of pickup.,Enterprise System,Functional,Quality,2,Negligible,moderate,Schedule,1,4,1,10.884615,1
238,The customer will liable for a no show charge if they fail to pick up the vehicle at the specified time. ,Enterprise System,Functional,Schedule,3,Negligible,catastrophic,Cost,1,3,4,13.607692,1
239,The system will require that the charge be process before the reservation can be closed out in the case of a no show,Enterprise System,Functional,Business,4,Negligible,moderate,Planning and Control,1,2,2,11.546154,1
240,The customer will have twenty four (24) hours before pickup time to call and cancel the reservation before the system requires the  no show charge,Enterprise System,Functional,Business,19,Very Low,insignificant,Team,1,3,5,25.923077,2
241,At time of return of rental vehicle the system will allow the employee to print out a Vehicle inspection form. This form is to be filled out at the vehicle and then input back into the system.,Enterprise System,Functional,Schedule,10,Very Low,moderate,Organizational Requirements,1,21,1,30.307692,2
242,"The vehicle inspection form will require information including model license number, vin number, damage to the vehicle, level of fuel in the tank, mileage and a section for other issues.’",Enterprise System,Functional,Quality,10,Very Low, Low,Schedule,1,4,0,16.192308,1
243,The system will allow for a vehicle to be returned to a different location than the original rental location for the charge of a fee to be determined by the company,Enterprise System,Functional,User,11,Very Low,Low,Schedule,1,5,0,17.269231,1
244,The system will identify and additional charges that need to be charged for any damage or issue to the rental vehicle,Enterprise System,Functional,Quality,18,Very Low,insignificant,Software Requirement,1,3,1,22.215385,2
245,For company accounts the system will allow for the invoice (bill) to be sent to the company,Enterprise System,Functional,Business,29,Low,moderate,Schedule,1,2,0,29.461538,2
246,Company billing will be required to be set up in advance with the company to prevent fraud,Enterprise System,Functional,Business,19,Very Low,Low,Schedule,2,1,1,22.269231,2
247,After the vehicle inspection is done then the system will print off a final invoice for the costumer to sign,Enterprise System,Functional,Cost,20,Very Low,insignificant,Estimations,2,5,0,25.423077,2
248,This invoice will contain the total amount charged by the rental company including primary rental and additional charges. Physical copy will be saved as proof of transaction.,Enterprise System,Functional,Requirement,28,Very Low,moderate,Software Requirement,1,3,2,31.061538,2
249,The system will provide employees with a login,Enterprise System,Functional,Requirement,12,Very Low,high,Planning and Control,2,2,0,17.276923,1
250,The system will provide employees with a logout,Enterprise System,Functional,Cost,19,Very Low,moderate,Team,1,1,2,22.576923,2
251,The system will provide employees with the option to reset their login password,Enterprise System,Functional,Schedule,29,Very Low,Low,Cost,2,5,0,32.5,2
252,The system will provide employees with the option to change their login password,Enterprise System,Functional,Cost,28,Very Low,moderate,Estimations,1,3,2,31.153846,2
253,The system will allow employees with quick an efficient access to customer information.,Enterprise System,Functional,Cost,10,Negligible,Low,Schedule,3,1,0,15.384615,1
254,The system will provide employees with a screen view of all customer pickups for a specified day,Enterprise System,Functional,Quality,30,Very Low,insignificant,Schedule,2,6,3,36.038462,2
255,The system will provide employees with a screen view of an existing reservation of a customer,Enterprise System,Functional,Quality,25,Very Low,moderate,Software Requirement,1,4,0,27.946154,2
256,The system will provide customers to login on the web portal and view existing reservation in the system,Enterprise System,Functional,Business,15,Very Low,Low,Estimations,4,3,1,22.346154,2
257,The system will allow employees to check vehicle availability from inventory for customers,Enterprise System,Functional,Quality,15,Very Low,moderate,Project Complexity,2,2,0,19.523077,1
258,The system will allow employees to get specific vehicle information for customers,Enterprise System,Functional,Schedule,17,Low,insignificant,Schedule,3,1,2,22.384615,2
259,The local system should be capable of running at minimum 1000 processes per minute (PPM)’,Enterprise System,Performance,User,20,Low,Moderate,Software Requirement,1,6,1,25.792308,2
260,The Headquarter (HQ) system should be able to process and allocate information to designated terminal within a 10 second refresh rate,Enterprise System,Performance,Cost,29,Low,catastrophic,Cost,3,4,1,33.530769,2
261,The system response time should be no longer than 1.0 seconds in order to keep up with the actions given by the User,Enterprise System,Performance,Schedule,28,Low,high,Team,1,2,1,29.5,2
262,As the company begins to acquire more customers popularity the system must be able to scale in speed size and versatility in order to accommodate the rising needs of the customer basis.,Enterprise System,Performance,People,15,Very Low,Low,Cost,4,1,1,20.384615,2
263,"The system will need to function on major internet operating software including Internet explorer, Firefox, Chrome, Safari, Opera, and Android’",Enterprise System,Constraints,Quality,30,Low,Low,Planning and Control,2,5,1,33.584615,2
264,The system will be constrained operating software of the host computer which is windows,Enterprise System,Constraints,Business,31,Low,Low,Organizational Requirements,1,4,1,32.730769,2
265,The user should have a valid user id and password,Safety Critical System,Functional,People,30,Low,insignificant,Cost,3,3,1,33.615385,2
266,Web site contains login window for each user,Safety Critical System,Functional,Overdrawn Budget,20,Very Low,moderate,Cost,1,1,1,23.423077,2
267,User should provide a valid user id and password to access the web site,Safety Critical System,Functional,Requirement,19,Very Low,Low,User,4,6,1,28.307692,2
268,"The user (pedestrians, vehicle owners and traffic police)should provide a valid information.'",Safety Critical System,Functional,User,15,Very Low,moderate,Estimations,2,3,1,21.384615,1
269,Web site contains Registration   window for each users,Safety Critical System,Functional,Time Dimension,10,Very Low,moderate,Estimations,1,2,0,15.846154,1
270,User should provide a valid details to create account in the web site,Safety Critical System,Functional,Schedule,11,Very Low,Low,Cost,3,1,0,17.115385,1
271,The user (vehicle owners and pedestrains) should have to provide valid information to traffic police through admin',Safety Critical System,Functional,Schedule,10,Very Low,Low,Schedule,1,2,0,15.538462,1
272,Web site contains Compliant issued dialog box for every user,Safety Critical System,Functional,Quality,20,Very Low,high,Planning and Control,2,3,0,24.930769,2
273,validation form for every user,Safety Critical System,Functional,Schedule,21,Very Low,moderate,Planning and Control,3,1,0,24.930769,2
274,The user (pedstrains and vehicle owners)can give compliant any time to traffic police',Safety Critical System,Functional,Quality,20,Very Low,Low,Estimations,4,4,0,27.038462,2
275,Web site contains Compliant issued dialog box for every user,Safety Critical System,Functional,Resource availability,30,Very Low,high,Estimations,1,1,0,30.507692,2
276,Admin can manage all users and maintain their data securely He can update the details and day to day updating can be done by admin,Safety Critical System,Functional,Software,31,Very Low,moderate,Organizational Requirements,2,5,0,34.776923,2
277,System can give the suggestions to the users during their discussion in discussion forum. He /She will give the traffic details. For participating in discussion forum he/she has to be registered.,Safety Critical System,Functional,Process,20,Very Low,moderate,Cost,1,2,0,23.238462,2
278,Smart Traffic Management plays a important role in maintaining data of road Traffic of a region which is helpful to users.,Safety Critical System,Functional,Schedule,19,Very Low,Low,Schedule,3,1,0,23.230769,2
279,User can ask any questions with the system and server during their chat,Safety Critical System,Functional,Quality,21,Very Low,Low,Project Complexity,2,5,0,27.023077,2
280,With the information provided by administrator user can directly contact with system or he can contact during their chat.,Safety Critical System,Functional,Business,30,Very Low,moderate,Organizational Requirements,4,3,0,33.961538,2
281,Smart Traffic Management System can help by creating awareness,Safety Critical System,Functional,Requirement,16,Very Low,moderate,Project Complexity,1,2,0,20.330769,2
282,User can enter into his account only by login,Safety Critical System,Functional,Quality,20,Very Low,moderate,Cost,2,1,0,23.346154,2
283,User can exit from his account,Safety Critical System,Functional,Quality,21,Very Low,Low,Software Requirement,4,5,0,28.523077,2
284,Administrator can maintain all backup data,Safety Critical System,Functional,Business,29,Low,high,Cost,3,3,0,32.692308,2
285,System can participate in chat with user and SERVER,Safety Critical System,Functional,Quality,1,Negligible,Low,Cost,1,2,0,8.423077,1
286,Admin has to provide the Traffic information to the user,Safety Critical System,Functional,Requirement,26,Very Low,moderate,Estimations,4,1,0,29.576923,2
287,System can respond to the queries asked by user,Safety Critical System,Functional,Requirement,7,Negligible,moderate,Software Requirement,2,4,0,15.561538,1
288,Day to day updating in improvements of operations can be provided by admin and they can be send to registered users every day,Safety Critical System,Functional,People,9,Negligible,high,Planning and Control,2,3,4,19.2,1
289,System can view the queries which are asked by user,Safety Critical System,Functional,People,21,Very Low,Low,Schedule,1,1,5,26.730769,2
290,User can view the response to their queries which are sent by system,Safety Critical System,Functional,Schedule,12,Negligible,Low,Team,1,2,5,20.769231,2
291,User can view the updating provided by admin,Safety Critical System,Functional,Requirement,31,Very Low,moderate,Project Complexity,1,3,5,36.484615,2
292,System can withstand even though many no. of customers request the desired service. Access is given to any users,Safety Critical System,Performance,Quality,20,Very Low,moderate,Software Requirement,2,1,5,26.946154,2
293,By incorporating a robust and proven DB2 UDB into the system reliable and integrity of data is ensured',Safety Critical System,Safety,User,19,Very Low,high,User,2,4,5,28.076923,2
294,There must be a power backup for server system,Safety Critical System,Safety,Requirement,17,Very Low,moderate,Cost,2,3,6,27.192308,2
295,Every day the data should be backup even when the operation of a user is not successful,Safety Critical System,Safety,Business,15,Very Low,moderate,Planning and Control,1,5,3,23.930769,2
296,Sensitive data is protected from unwanted access by user�s appropriate technology and implementing strict user-access criteria,Safety Critical System,Security,Project complexity,13,Very Low,Low,Team,1,2,2,19.130769,1
297,Facility of unique user number and Password in such a way that unauthorized user cannot log in,Safety Critical System,Security,Project complexity,10,Very Low,Low,User,1,1,2,15.861538,1
298,Operational rights for each user/terminal can be defined,Safety Critical System,Security,Project complexity,11,Very Low,high,Team,1,5,2,20.207692,2
299,Operational rights for each user/terminal can be defined,Safety Critical System,Security,Project complexity,19,Very Low,Low,Team,2,3,3,25.284615,2
